Date,Close,High,Low,Open,Volume
2021-10-20,17.222795486450195,17.489415344704717,16.75322745264256,16.800981214668617,29871900
2021-10-21,16.24785041809082,17.02781050910128,16.080715245436096,16.972099290888654,20499700
2021-10-22,15.722570419311523,16.436076327201004,15.479828885961417,16.418963722340333,11914400
2021-10-25,16.148365020751953,16.438461064277078,16.128466856742538,16.279684098716746,7522900
2021-10-26,15.941435813903809,16.176219868827584,15.913580207219354,16.096631770579123,6142400
2021-10-27,15.145560264587402,15.25897282918619,14.922713857824455,15.14953898702203,6527000
2021-10-28,15.74644660949707,15.871001411162297,14.859042793428296,15.794198865971495,7176600
2021-10-29,16.072751998901367,16.20407256512759,15.656906575217883,15.694709738633192,7049000
2021-11-01,15.730530738830566,15.937459234597215,15.368406250743194,15.869810322259285,6042100
2021-11-02,16.30753517150879,16.48262773277339,16.144380290916487,16.216009410983,6106400
2021-11-03,16.07673454284668,16.219991292881755,15.56339292166685,15.985207246467336,5160000
2021-11-04,15.638999938964844,15.997145589894409,15.503700639504405,15.847918488343186,4282300
2021-11-05,15.623083114624023,15.85786716494493,15.527578613011576,15.76236266333248,3022000
2021-11-08,16.936283111572266,17.079539865654194,16.70149905852545,16.773128194574763,8171800
2021-11-09,17.23871612548828,17.449623294636893,16.932302935243733,17.38595311991184,7763000
2021-11-10,16.83679962158203,17.624718658722543,16.64976780598221,17.47748013588077,9954400
2021-11-11,16.562213897705078,16.76715215497184,16.494565024361798,16.54231725954624,3247200
2021-11-12,16.363252639770508,16.43090306486448,15.897664699016067,16.26774812177742,7672600
2021-11-15,16.271724700927734,16.657725998517403,16.208054524646457,16.62987039127039,6204300
2021-11-16,15.209230422973633,15.6628806805728,15.085868775479302,15.487786533417367,8119300
2021-11-17,15.396258354187012,15.475846452572846,15.132027810607436,15.376361709094732,7245800
2021-11-18,14.76751708984375,15.12168257031851,14.429268016276502,15.046074703952993,11930400
2021-11-19,14.727723121643066,14.8789403810579,14.68792982506825,14.72374439919237,6827900
2021-11-22,14.202438354492188,14.910770606797715,14.170604032847029,14.86102824583884,10940500
2021-11-23,14.727723121643066,14.743641047479779,14.40937219499365,14.516815917366008,6421000
2021-11-24,14.600383758544922,14.604363999287253,14.214383897477362,14.258157437540616,5460200
2021-11-26,13.70501708984375,13.880111201908232,13.657264840197366,13.848275356799546,5211600
2021-11-29,14.75160026550293,14.957335589557026,14.409372444180178,14.524775131466592,6690000
2021-11-30,14.560586929321289,15.061989362089125,14.317843915467138,14.827604548164192,6746800
2021-12-01,14.357640266418457,15.010260002525323,14.333763379237649,14.859042753080582,6683000
2021-12-02,14.441208839416504,14.556611531042243,14.17061015740576,14.313868461766395,4670600
2021-12-03,13.486151695251465,14.373555432299819,13.008624618978867,14.349680065197063,14049100
2021-12-06,12.356003761291504,12.507220983265617,12.073467478720948,12.220704461212893,8017300
2021-12-07,12.785782814025879,13.163825236195498,12.702215214184696,12.909142954869175,5064600
2021-12-08,12.833532333374023,12.95291372589508,12.600738390255447,12.714150940852967,6224900
